munic;pib;pib_pcap;area;dist_cap;pleb_caraj_dum;pleb_tapaj_dum;dum_car;dum_tap;bf;acomp_fami_bf;ifdm;emprego_renda;educ;saude;ifgf;rec_propria;pessoal;invest;liquidez;custo_divida;var_politica;carajsim;tapsim
Picarra;76790.753;5844.05;3312.7;717;1;1;1;0;785;0.6597;0.459032525;0.291821054;0.513267006;0.572009513;0.301447908;0.090389117;0.464932128;0.340002788;0;1;1708020.68;0.995645646;0.995033113
Placas;63461.068;3239.13;7173.2;1181;1;1;0;1;969;0.969;0.427491975;0.175831414;0.475855154;0.630789356;0.394342464;0.025664232;0.609931917;0.672592578;0;1;1903623.11;0.981258706;0.985422741
Ponta de Pedras;76088.97;2877.25;3365.1;64.8;0;0;0;0;2025;0.9907;0.501204085;0.279383201;0.577893304;0.646335751;0.41419956;0.097343717;0.441416893;0.134629035;0.792044173;0.844769511;2261689.08;0.023732836;0.024324095
Portel;166577.476;3403.36;25384.9;158.4;0;0;0;0;3099;0.9064;0.479807059;0.408057903;0.463779329;0.567583946;0.404025031;0.101087964;0;0.509288487;0.759423739;0.958199881;5841421.00;0.033510767;0.034731046
Porto de Moz;76142.928;2710.58;17423.2;569;0;0;0;1;860;0.511;0.374165715;0.070675449;0.503031642;0.548790052;;;;;;;4251151.44;0.286547812;0.288451131
Prainha;109358.355;4115.86;14786.7;709;1;1;0;1;1652;0.626;0.519313075;0.381947699;0.532812749;0.643178776;0.324059382;0.056226035;0.456319484;0.247222007;0.236051948;1;3227692.72;0.970989375;0.975841764
Primavera;31326.788;2849.7;258.6;194;0;0;0;0;850;0.8374;0.49403378;0.328353576;0.576188566;0.577559196;0.204779818;0.323065774;0;0.168395485;0.082448753;0.756500652;708000.99;0.036598493;0.039461883
Quatipuru;47786.741;3550.54;324.3;207;0;0;0;0;1102;0.8425;0.493720796;0.243438142;0.60703559;0.630688655;;;;;;;0.00;0.038570921;0.053866667
Redencao;573767.694;8555.52;3823.8;879.5;1;1;1;0;2621;0.5893;0.566851286;0.403223462;0.664021149;0.633309248;;;;;;;6121470.18;0.953460076;0.951156421
Rio Maria;171342.99;9826.4;4114.6;793.5;1;1;1;0;592;0.657;0.573282976;0.338641199;0.62243191;0.758775821;0.523340307;0.120919409;0.473205871;0.599830604;0.72483545;0.916122567;2153010.39;0.95980912;0.958594331
Rondon do Para;244986.217;5128.24;8246.4;539;1;1;1;0;1893;0.5626;0.535365124;0.2570444;0.670525348;0.678525624;0.529700202;0.327514188;0.534371756;0.354121419;0.693771313;1;4399754.90;0.925747807;0.924890322
Rurcpolis;107944.171;2992.8;7021.3;1392;1;1;0;1;2137;0.9972;0.485826574;0.34398094;0.523577864;0.58992092;0.552287709;0.227875032;0.439619819;0.62951822;0.749557317;0.918093718;3239795.91;0.950544465;0.959810875
Salincpolis;156126.579;3984.45;237.5;217;0;0;0;0;2392;0.791;0.537570335;0.343320685;0.675408037;0.593982283;0.314928252;0.301888165;0.507534875;0.332192151;0;0.580648336;2991942.27;0.042908352;0.049161892
Salvaterra;69514.457;3835.49;1039.1;54;0;0;0;0;1707;0.9743;0.469344478;0.298005877;0.567729396;0.542298161;0.321165332;0.07269155;0.507864;0.292878069;0.226062974;0.737785986;2304163.58;0.051467185;0.053362979
Santa Barbara do Para;59371.122;4027.89;278.2;48;0;0;0;0;1163;0.8501;0.564880363;0.357587428;0.651538688;0.685514974;0.543187747;0.058617178;0.695364056;0.471586849;0.845818823;0.771256929;1736129.70;0.048853235;0.054539852
Santa Cruz do Arari;22389.117;3565.15;1075.2;138.9;0;0;0;0;289;0.8377;0.362652582;0;0.576806395;0.511151351;0.449377873;0.151683322;0.564182461;0.141200291;0.695724471;1;824733.48;0.01829955;0.01832018
Santa Isabel do Para;277844.898;4999.91;717.7;42;0;0;0;0;1466;0.3606;0.586703427;0.42616095;0.666710523;0.667238808;0.251349726;0.16092694;0.438659723;0.433388252;0;0.189303698;4483882.57;0.046862423;0.051830335
Santa Luzia do Para;58426.128;3172.4;1356.1;206;0;0;0;0;1846;0.7886;0.518750188;0.339559706;0.585981406;0.630709452;;;;;;;0.00;0.037507814;0.043383043
Santa Maria das Barreiras;92045.865;5177.52;10330.2;1048.5;1;1;1;0;840;0.6683;0.529723019;0.492888935;0.484730345;0.611549776;0.422703348;0.069773402;0.461427763;1;0;0.781830861;2549238.03;0.992040865;0.991168397
