Depth;Sus;Cond;Auppm;Sperc
2114.5;0.159717546;0.161368002;0.010723865;0.002166062
2115;0.196935743;0.210853365;0.010723865;0.002166062
2115.5;0.298252506;0.665111737;0.010723865;0.002166062
2116;0.282791991;0.568201724;0.010723865;0.002166062
2116.5;0.272015754;0.667452953;0.010723865;0.002166062
2117;0.267816822;0.515211304;0.010723865;0.002166062
2117.5;0.256597493;0.249198357;0.010723865;0.002166062
2118;0.263103228;0.197280558;0.010723865;0.002166062
2118.5;0.237983339;0.366422957;0.010723865;0.002166062
2119;0.374289988;0.439332694;0.010723865;0.002166062
2119.5;0.26245109;0.306425028;0.010723865;0.002166062
2120;0.266643211;0.337459261;0.010723865;0.002166062
2120.5;0.308831097;0.243038049;0.010723865;0.002166062
2121;0.243472126;0.122215878;0.010723865;0.002166062
2121.5;0.190471771;0.210853365;0.010723865;0.002166062
2122;0.271841607;0.462397998;0.010723865;0.002166062
2122.5;0.216033878;0.010723865;0.010723865;0.002166062
2123;0.478927056;0.849726444;0.010723865;0.002166062
2123.5;0.198450886;0.190331698;0.010723865;0.002166062
2124;0.201055564;0.138302698;0.010723865;0.002166062
2124.5;0.190191581;0.183269844;0.010723865;0.002166062
2125;0.081887139;0.33243846;0.010723865;0.002166062
2125.5;0.051827567;0.16879202;0.010723865;0.002166062
2126;0.175294322;0.419129308;0.010723865;0.002166062
2126.5;0.176742213;0.290034611;0.010723865;0.002166062
2127;0.204798038;0.484299839;0.010723865;0.002166062
2127.5;0.340939602;0.462397998;0.010723865;0.002166062
2128;0.271957713;0;0.010723865;0.002166062
2128.5;0.377488383;0.267171728;0.010723865;0.002166062
2129;0.313287071;0.491361694;0.010723865;0.002166062
2129.5;0.325823419;0.427323786;0.010723865;0.002166062
2130;0.267758217;0.051152522;0.010723865;0.002166062
2130.5;0.242355049;0.243038049;0.010723865;0.002166062
2131;0.186815124;0.138302698;0.010723865;0.002166062
2131.5;0.184123354;0.010723865;0.010723865;0.002166062
2132;0.14082218;0;0.010723865;0.002166062
2132.5;0.14176323;0.010723865;0.010723865;0.002166062
2133;0.134734764;0.021189299;0.010723865;0.002166062
2133.5;0.188858204;0.021189299;0.010723865;0.002166062
2134;0.023972257;0.070037867;0.010723865;0.002166062
2134.5;0.187168066;0.130333768;0.010723865;0.002166062
2135;0.159567193;0.113943352;0.010723865;0.002166062
2135.5;0.126212607;0;0.010723865;0.002166062
2136;0.053654558;0.393575203;0.010723865;0.002166062
2136.5;0.035129431;0.079181246;0.010723865;0.002166062
2137;0.069483094;0.010723865;0.010723865;0.002166062
2137.5;0.046592704;0.183269844;0.010723865;0.002166062
2138;0.107633878;0.290034611;0.010723865;0.002166062
2138.5;0.111346541;0.183269844;0.010723865;0.002166062
2139;0.064270753;0.161368002;0.010723865;0.002166062
2139.5;0.164724524;0.153814864;0.010723865;0.002166062
2140;0.055951405;0;0.130333768;0.158362492
2140.5;0.020154032;0.224014811;0.181843588;0.008600172
2141;0.056046844;0;0.181843588;0.008600172
2141.5;0.083771283;0.031408464;0.029383778;0.002166062
2142;0.060225524;0.088136089;0.029383778;0.002166062
2142.5;0.056619037;0;0.010723865;0.002166062
2143;0.03802374;0;0.010723865;0.002166062
2143.5;0.035229556;0;0.010723865;0.002166062
2144;0.054613055;0.041392685;0.010723865;0.002166062
2144.5;0.505149978;0.885078384;0.164352856;0.033423755
2145;0.114026862;0;0.164352856;0.033423755
2145.5;0.160543558;0.051152522;0.010723865;0.002166062
2146;0.09725731;0.16879202;0.010723865;0.002166062
2146.5;0.114944416;0.138302698;0.010723865;0.002166062
2147;0.087071206;0.079181246;0.010723865;0.002166062
2147.5;0.111934276;0.096910013;0.010723865;0.002166062
2148;0.276059493;0.615423953;0.010723865;0.002166062
2148.5;0.3526648;0.565257343;0.010723865;0.002166062
2149;0.311117843;0.33243846;0.010723865;0.002166062
2149.5;0.441695136;0.599337133;0.010723865;0.002166062
2150;0.087515224;0.249198357;0.010723865;0.002166062
2150.5;0.170921459;0;0.010723865;0.002166062
2151;0.32216759;0.678973376;0.010723865;0.002166062
2151.5;0.359361103;0.525044807;0.010723865;0.002166062
2152;0.087781418;0.146128036;0.010723865;0.002166062
2152.5;0.261560229;0.469822016;0.010723865;0.002166062
2153;0.236474279;0.380211242;0.010723865;0.002166062
2153.5;0.381566296;0.660391098;0.010723865;0.002166062
2154;0.204865786;0.261262869;0.010723865;0.002166062
2154.5;0.214247608;0.153814864;0.010723865;0.002166062
2155;0.298634783;0.230448921;0.010723865;0.002166062
2155.5;0.107888025;0;0.010723865;0.002166062
2156;0.203372897;0.204119983;0.010723865;0.002166062
2156.5;0.039116555;0;0.010723865;0.002166062
2157;0.026941628;0.122215878;0.010723865;0.002166062
2157.5;0.080716655;0;0.010723865;0.002166062
2158;0.116773727;0;0.010723865;0.002166062
2158.5;0.068742293;0;0.010723865;0.002166062
2159;0.190121505;0.138302698;0.010723865;0.002166062
2159.5;0.208508538;0;0.010723865;0.002166062
2160;0.090081618;0;0.010723865;0.002166062
2160.5;0.080175366;0.088136089;0.010723865;0.002166062
2161;0.278181785;0.249198357;0.010723865;0.002166062
2161.5;0.276691529;0.079181246;0.010723865;0.002166062
2162;0.22278148;0.088136089;0.010723865;0.002166062
2162.5;0.206556044;0.306425028;0.010723865;0.002166062
2163;0.145351817;0.427323786;0.010723865;0.002166062
2163.5;0.154880245;0.217483944;0.010723865;0.002166062
2164;0.086893471;0.06069784;0.010723865;0.002166062
2164.5;0.216495788;0.197280558;0.010723865;0.002166062
2165;0.256356886;0.070037867;0.010723865;0.002166062
2165.5;0.272189831;0.439332694;0.010723865;0.002166062
2166;0.352182518;0.728353782;0.010723865;0.002166062
2166.5;0.267230413;0.197280558;0.010723865;0.002166062
2167;0.22278148;0.204119983;0.010723865;0.002166062
