Ticker,Retorno Médio Anualizado,Volatilidade Anualizada,Retorno Último Mês,Retorno Últimos 6 Meses,Retorno Últimos 12 Meses,Retorno Últimos 5 Anos,Retorno Últimos 10 Anos,Sharpe Ratio,Beta,VaR 95%,Correlação com IBOV (Últimos 5 Anos)
FLRY3,0.08803276436057544,0.3138142277365757,-0.09821426746796502,0.01951547567652323,-0.04416408492695212,-0.33912140761555676,1.0597383967054403,0.1849271295923834,0.5434624312413788,-0.02947963043716495,0.5774740346303592
GGBR4,0.13292584014941652,0.4196907838225458,0.042391342544376265,0.024299060851092014,0.000695701290485573,0.7822125831902631,0.8661623842561448,0.24524207849399848,0.8335711778603941,-0.038358240701891845,0.67901898285222
GOAU4,0.09463737704395403,0.45798495877459716,0.027436137202069277,0.03428568158830925,0.01876170845477909,0.6707691779503455,-0.3117870823542509,0.14113427920624375,1.1608245768217442,-0.04262453569463141,0.6946025228725478
NTCO3,-0.04346246971827351,0.5407627067595517,0.060757712321376944,-0.1392111166121328,0.006101705260195933,,,-0.13584973371867215,1.222515528521675,-0.04659180426987038,0.5906107095004297
HAPV3,0.09628909542303513,0.5362155649319726,-0.11648355771228003,0.03341899036415086,-0.08009151345499188,-0.5996015940039342,,0.12362396722192304,1.0502682972086652,-0.044662291261684084,0.5185207952971986
HYPE3,0.1381296196172386,0.364640008275513,-0.0629371021119084,-0.1625000238418579,-0.2482468978968767,-0.17791409535386238,0.44708415629794773,0.29653800231251237,0.6803044841944579,-0.033121786115291055,0.6017193487356602
IGTI11,0.07430874045263064,0.3328329571810312,-0.03355704640711421,-0.05841325725334989,0.08054030159008385,,,0.13312606067592841,1.1873138363162203,-0.03356226723693523,0.6305691809813772
IRBR3,-0.045096610033281484,0.6018705640670963,-0.13735729662899276,0.16880729670064198,0.05588445739837633,-0.9435399540599102,,-0.12477202660622184,0.9885849418374959,-0.0523306856821812,0.42845511052399887
ITSA4,0.1740016565311971,0.4121656529325683,-0.05431876060039198,0.04322196141385115,0.2543307610783263,-0.017182550031706323,0.7265339146495835,0.3493781092786891,0.9568273625162399,-0.034277835486769034,0.7997631286506915
ITUB4,0.15176753191262332,0.34398235012915657,-0.0685698966438908,0.0427120766047735,0.2829842345468305,-0.026763287233312782,0.6905456818975526,0.3539935460842765,1.0266374624438361,-0.031778149542819614,0.7481766308106133
JBSS3,0.21156858871960796,0.4926396326793036,-0.06242774400778284,0.5551293229881771,0.7814387840562824,0.08749576633182454,2.5492338520980575,0.368562691012326,0.8951855872841324,-0.04378610561463729,0.48999600358928075
KLBN11,0.10813551092355897,0.29178637283782194,-0.025594126481802038,-0.06528493631158072,-0.017922888396973646,0.5318092969494674,0.9959148974465699,0.26778327638689126,0.4232280527784616,-0.02730488906360005,0.38798361217820154
RENT3,0.28138447354239254,0.42715132416584606,-0.013885623188546359,-0.2009915594364985,-0.24479601655505856,0.004595196162432202,2.5125353019689953,0.5885138575499063,0.9241725195018686,-0.03774034069030766,0.6929550710972366
LREN3,0.17660285984612634,0.5673792186241073,0.004437044961695946,0.0360412519801836,0.40061873031064565,-0.5885276563878638,0.6802643018851631,0.2583860230229048,0.948303753182633,-0.03863272442632606,0.6731842594105705
LWSA3,0.18341074142464775,0.684093893959696,-0.08888891008165145,-0.23791824955032836,-0.34504796250384284,,,0.22425392592918844,1.265854801172405,-0.06896549885256886,0.4869618202917731
MGLU3,0.24744953150900748,0.6299528028153191,-0.2138211441998188,-0.44425285699455996,-0.45298035996145514,-0.8787252667110508,2.8247118800638,0.3451838463726248,1.1666435739185554,-0.055392648796808226,0.5497860522121433
MRFG3,0.10076090468059969,0.4844166863503219,-0.07681755085183783,0.3235004854642969,0.9507246162480256,0.41154859234016294,1.0294979528631516,0.14607445753721746,0.7717331089902949,-0.04289255388073751,0.46141819391273675
BEEF3,0.025522506525424364,0.42132073167321005,-0.11388884952038791,-0.07132456758087524,-0.2171778634277467,-0.2635198123393814,-0.47674271722590333,-0.010627280211904035,0.548596901251392,-0.039112314758370584,0.3856647902376383
MRVE3,0.12267702869309798,0.5177549492452758,-0.014120684730817179,0.00523559719267741,-0.185577987296209,-0.5661017233163554,0.031489712114426416,0.17899786149450045,1.1849199265257553,-0.04709102939114124,0.6296936541845334
MULT3,0.13754050648719504,0.3685119559069963,-0.005782560348575716,0.021386174872370045,0.0701245023778938,-0.006165697214183252,0.35736846923828125,0.29182365663689813,0.8015689235388762,-0.0325294141636346,0.710855276549793
PCAR3,0.10012833441414822,0.632533036060801,-0.11562503702007176,-0.017361176648623022,-0.1651917887518619,-0.7862693428200214,-0.7149877796473574,0.11086904622544848,0.1760809336236991,-0.02452775820652103,0.23752100283102276
PETR3,0.15754877346552534,0.44466799943728214,-0.012887849543246954,0.044180761752946385,0.16114547587278882,0.3944706953179671,1.0973631871448566,0.2868404599092707,1.238263337145188,-0.041101137850646605,0.7097764439308744
PETR4,0.15561680491121385,0.43891107117326833,-0.012010420199370264,-0.02019675817890576,0.16002456749318839,0.40773814486639726,0.8087954117871774,0.2862010397127218,1.1809606974963867,-0.04068474532320117,0.6962049974514768
RECV3,0.16325893889930282,0.4658765019446118,-0.0869781275847441,-0.12814422850960305,-0.04966368795973586,,,0.2860391935267558,1.1674885918215407,-0.046649790965111515,0.45209003267247005
